author,text,likes,published_at
@DanielMaldonadoRodríguez-20007,💜💜 Jenna Ortega Merlina 2 💜,0,2025-08-14T22:08:49Z
@arganlumens7117,How weem Isn&#39;t a Part of the addams or frumps bloodlines,0,2025-08-14T22:07:58Z
@13_4everandalways,I’m soooo excited for weeks to come back and it’s humorous that it’s a spirit guide cause even the trailer made me laugh I’m so exited for part 2!! Btw part one was amazing!❤❤,0,2025-08-14T22:07:24Z
@nglijie5716,It&#39;s time for evil to go to Hell.,0,2025-08-14T22:05:37Z
@rafaelraposo3828,Lady gaga voice,0,2025-08-14T22:05:32Z
@QueenInCursive,GWENDOLINE CHRISTIE EATS THIS ROLE UP!!!!! 👏🏽,5,2025-08-14T22:04:46Z
@Insømni0928,I missed Weems let&#39;s gooooo!!!!!,0,2025-08-14T22:04:03Z
@bgsof,Enid so cruel with Wednesday..,0,2025-08-14T22:03:42Z
@Nyah-i5i,"MY THEORY WAS RIGHT,",0,2025-08-14T22:02:19Z
@kcbenard8305,oh it comes out on my birthday swag,0,2025-08-14T22:01:23Z
@charleskim1540,She back in action.,0,2025-08-14T22:00:53Z
@ierroni,THEY FREAKING BODY SWAP OMG,0,2025-08-14T22:00:44Z
@lyanne_37k,I KNOW THE VOICE WHO SAID BEWARE IT PROB LADY GAGA😭😭,0,2025-08-14T21:59:19Z
